UPE | 比較 Intel® 產品
2023/02/16 15:05:02
,Intel® Core™ i5-4210U 處理器 (3M 快取記憶體，最高 2.70 GHz)

關鍵元件
產品集合,第 4 代 Intel® Core™ i5 處理器
代號,產品原名  Haswell
垂直區段,Mobile
處理器編號,i5-4210U
光刻,22 nm

CPU 規格
核心數量,2
執行緒數量,4
最大超頻,2.70 GHz
Intel® 渦輪加速技術 2.0 頻率‡,2.70 GHz
處理器基礎頻率,1.70 GHz
快取記憶體,3 MB Intel® Smart Cache
匯流排速度,5 GT/s
TDP,15 W

補充資訊
狀態,Discontinued
推出日期,Q2'14
提供嵌入式選項,否
資料表,立即檢視

記憶體規格
最大記憶體大小 (取決於記憶體類型),16 GB
記憶體類型,DDR3L 1333/1600 |  LPDDR3 1333/1600
最大記憶體通道數量,2
最大記憶體頻寬,25.6 GB/s
支援 ECC 記憶體 ‡,否

處理器顯示晶片
處理器繪圖 ‡,Intel® HD Graphics 4400
繪圖基頻,200 MHz
繪圖最大動態頻率,1.00 GHz
繪圖視訊最大記憶體,2 GB
繪圖輸出,eDP/DP/HDMI
最大解析度 (HDMI)‡,3280x2000@60Hz
最大解析度 (DP)‡,3200x2000@60Hz
DirectX* 支援,11.2/12
OpenGL* 支援,4.3
Intel® 高速影像同步轉檔技術,是
InTru™ 3D 技術,是
Intel® 彈性顯示介面,否
Intel® 清晰視訊 HD 技術,是
支援的顯示器數量 ‡,3
裝置識別碼,0xA16

擴充選擇
PCI 支援,否
PCI Express 修訂版,2.0
PCI Express 設定 ‡,4x1 |  2x4
PCI Express 線道數量上限,12

I/O 規格
USB 連接埠數量,4
USB 修訂版,3.0
SATA 連接埠總數,4
整合式區域網路,否
整合式 IDE,否
一般用途 IO,是
UART,是
SATA 6.0 Gb/s 連接埠數量上限,4

封裝規格
支援的插座,FCBGA1168
最大 CPU 配置,1
TJUNCTION,100°C
封裝大小,40mm x 24mm x 1.5mm

進階技術
Intel® 渦輪加速技術 ‡,2.0
Intel® 超執行緒技術 ‡,是
Intel® TSX-NI,否
Intel® 64 ‡,是
指令集,64-bit
指令集擴充,Intel® SSE4.1 |  Intel® SSE4.2 |  Intel® AVX2
閒置狀態,是
進階 Intel SpeedStep® 技術,是
溫度監測技術,是
Intel® ME 韌體版本,9.5
Intel® HD 音效技術,是
Intel® 組合儲存技術,否
Intel® 身分辨識保護技術 ‡,是
Intel® 快速儲存技術,是
Intel® Smart Connect Technology,是

安全性與可靠性
Intel® AES 新增指令,是
安全金鑰,是
Intel® 受信任的執行技術 ‡,否
執行禁用位元 ‡,是
Anti-Theft 技術,是
Intel® 虛擬化技術 (VT-x) ‡,是
適用於導向式 I/O 的 Intel® 虛擬化技術 (VT-d) ‡,否
Intel® VT-x with Extended Page Tables (EPT) ‡,是
